cell_name,cell_type,cell_type_pooled
X1772067086_B12,IFE-B,IFE-B
X1772067086_C01,IFE-DI,IFE-D
X1772067086_C05,IFE-B,IFE-B
X1772067086_C06,IFE-B,IFE-B
X1772067086_C07,IFE-DII,IFE-D
X1772067086_C08,IFE-B,IFE-B
X1772067086_C09,IFE-DI,IFE-D
X1772067086_C10,IFE-B,IFE-B
X1772067086_C11,IFE-B,IFE-B
X1772067086_C12,IFE-KI,IFE-K
X1772067086_D01,IFE-DII,IFE-D
X1772067086_D03,IFE-KI,IFE-K
X1772067086_D04,IFE-DI,IFE-D
X1772067086_D06,IFE-B,IFE-B
X1772067086_D10,IFE-DI,IFE-D
X1772067086_D11,IFE-B,IFE-B
X1772067086_E01,IFE-B,IFE-B
X1772067086_E02,IFE-DII,IFE-D
X1772067086_E04,IFE-KI,IFE-K
X1772067086_E06,IFE-DI,IFE-D
X1772067086_E12,IFE-B,IFE-B
X1772067086_F05,IFE-B,IFE-B
X1772067086_F11,IFE-B,IFE-B
X1772067086_G10,IFE-DI,IFE-D
X1772067086_G12,IFE-KII,IFE-K
X1772067086_H05,IFE-B,IFE-B
X1772067086_H06,IFE-DI,IFE-D
X1772067086_H10,IFE-DI,IFE-D
X1772067086_H11,IFE-KI,IFE-K
X1772067086_H12,IFE-DI,IFE-D
X1772067087_A04,IFE-B,IFE-B
X1772067087_A08,IFE-B,IFE-B
X1772067087_A09,IFE-DII,IFE-D
X1772067087_A12,IFE-DI,IFE-D
X1772067087_B02,IFE-DII,IFE-D
X1772067087_B05,IFE-DI,IFE-D
X1772067087_C05,IFE-DI,IFE-D
X1772067087_C10,IFE-B,IFE-B
X1772067087_D02,IFE-KII,IFE-K
X1772067087_D07,IFE-KII,IFE-K
X1772067087_D08,IFE-DII,IFE-D
X1772067087_F01,IFE-B,IFE-B
X1772067087_F11,IFE-B,IFE-B
X1772067087_G02,IFE-DII,IFE-D
